work_id,work_title,work_source,work_authors,referenced_work_ids,referenced_titles,referenced_sources,referenced_authors
w4286795081,convolutional network fabric pruning with label noise,artificial intelligence review,"ilias benjelloun, bart lamiroy, efoevi angelo koudou","w1934184906, w1993644118, w1994550352","recurrent convolutional neural network for object recognition, robustness of regularized linear classification methods in text categorization, a study of the effect of different types of noise on the precision of supervised learning techniques","source not found, source not found, artificial intelligence review","ming liang, xiaolin hu, jian zhang, yiming yang, david nettleton, albert orriols-puig, albert fornells"
w4286906772,a comprehensive review of binary neural network,artificial intelligence review,"chunyu yuan, sos с. agaian","w1493956763, w1523337958, w1861492603","a survey on artificial intelligence approaches for medical image classification, hadamard matrices and their applications, microsoft coco: common objects in context","indian journal of science and technology, lecture notes in mathematics, lecture notes in computer science","s. n. deepa, sos с. agaian, tsung-yi lin, michael maire, serge belongie, james hays, pietro perona, deva ramanan, piotr dollár, c. lawrence zitnick"
w4287307793,a velocity-guided harris hawks optimizer for function optimization and fault diagnosis of wind turbine,artificial intelligence review,"wen long, jianjun jiao, ximing liang, ming xu, tiebin wu, mingzhu tang, shaohong cai","w1595159159, w1982970548, w1985147356","unknown title, de/bbo: a hybrid differential evolution with biogeography-based optimization for global numerical optimization, nonlinear minimization algorithm for determining the solar cell parameters with microcomputers","journal of global optimization, soft computing, international journal of solar energy","rainer storn, kenneth v. price, wenyin gong, zhihua cai, charles x. ling, t. easwarakhanthan, j. bottin, i. bouhouch, c. boutrit"
w4287577628,an external archive guided harris hawks optimization using strengthened dominance relation for multi-objective optimization problems,artificial intelligence review,"djaafar zouache, adel got, habiba drias","w1662894842, w1846834309, w2022485595","an evolutionary many-objective optimization algorithm based on dominance and decomposition, scalable multi-objective optimization test problems, an evolutionary many-objective optimization algorithm using reference-point-based nondominated sorting approach, part i: solving problems with box constraints","ieee transactions on evolutionary computation, source not found, ieee transactions on evolutionary computation","ke li, kalyanmoy deb, qingfu zhang, sam kwong, kalyanmoy deb, lothar thiele, marco laumanns, eckart zitzler, kalyanmoy deb, himanshu jain"
w4287992808,putting ridesharing to the test: efficient and scalable solutions and the power of dynamic vehicle relocation,artificial intelligence review,"panayiotis danassis, marija šakota, aris filos-ratsikas, boi faltings","w1128809682, w1528366548, w1552828154","a comprehensive survey of clustering algorithms, memory versus randomization in on-line algorithms, online computation and competitive analysis","annals of data science, lecture notes in computer science, source not found","dongkuan xu, yingjie tian, prabhakar raghavan, marc snir, allan borodin, ran el‐yaniv"
w4289638136,feature selection for set-valued data based on d–s evidence theory,artificial intelligence review,"yini wang, sichun wang","w190934746, w1987971958, w1988334416","the rough sets theory and evidence theory, silhouettes: a graphical aid to the interpretation and validation of cluster analysis, knowledge reduction in random information systems via dempster–shafer theory of evidence","fundamenta informaticae, journal of computational and applied mathematics, information sciences","andrzej skowron, peter j. rousseeuw, wei-zhi wu, mei zhang, li huai-zu, ju‐sheng mi"
w4289860834,deep learning based single sample face recognition: a survey,artificial intelligence review,"fan liu, delong chen, fei wang, zewen li, feng xu","w1525929718, w1546200464, w1567019178","face recognition from a single image per person using common subfaces method, single sample face recognition via learning deep supervised autoencoders, single image subspace for face recognition","lecture notes in computer science, ieee transactions on information forensics and security, springer ebooks","junbao li, jeng‐shyang pan, shu‐chuan chu, shuhong gao, yingying zhang, kui jia, jiwen lu, jun liu, songcan chen, zhi‐hua zhou, xiaoyang tan"
w4289868942,diabetes subtypes classification for personalized health care: a review,artificial intelligence review,"nashuha omar, nor nisha nadhira nazirun, bhuwaneswaran vijayam, asnida abdul wahab, hana ahmad bahuri","w1525173758, w1839682376, w1976383685","challenges in type 1 diabetes management in south east asia: descriptive situational assessment, identification of type 2 diabetes subgroups through topological analysis of patient similarity, dbscan: past, present and future","indian journal of endocrinology and metabolism, science translational medicine, source not found","jothydev kesavadev, shaukatm sadikot, banshi saboo, dina shrestha, fatema jawad, kishwar azad, mahendraarunashanthi wijesuriya, tint swe latt, sanjay kalra, li li, wei‐yi cheng, benjamin s. glicksberg, omri gottesman, ronald tamler, rong chen, erwin p. böttinger, joel t. dudley, kamran ullah khan, saif ur rehman, kamran aziz, simon fong, s. sarasvady, amrita vishwa"
w4290992098,artificial intelligence-enabled prediction model of student academic performance in online engineering education,artificial intelligence review,"pengcheng jiao, fan ouyang, qianyun zhang, amir h. alavi","w1486836812, w1551289443, w1567135675","the roles of artificial intelligence in education: current progress and future prospects, the construction of shared knowledge in collaborative problem solving, the international handbook of collaborative learning","i-manager’s journal of educational technology, springer ebooks, routledge ebooks","david mcarthur, matthew lewis, miriam bishary, jeremy roschelle, stephanie d. teasley, cindy e. hmelo‐silver, clark a. chinn, carol k. k. chan, angela m. o’donnell"
w4291993480,deep learning models and traditional automated techniques for brain tumor segmentation in mri: a review,artificial intelligence review,"parvathy jyothi, aman singh","w1667869507, w1745334888, w1884191083","multi-atlas segmentation of biomedical images: a survey, learning deconvolution network for semantic segmentation, brain tumor segmentation with deep neural networks","medical image analysis, source not found, medical image analysis","juan eugenio iglesias, mert r. sabuncu, hyeonwoo noh, seunghoon hong, bohyung han, mohammad havaei, axel davy, david warde-farley, antoine biard, aaron courville, yoshua bengio, chris pal, pierre-marc jodoin, hugo larochelle"
w4292059111,an improved moth flame optimization algorithm based on modified dynamic opposite learning strategy,artificial intelligence review,"saroj kumar sahoo, apu kumar saha, sukanta nama, mohammad masdari","w1595159159, w1596914020, w1859193303","unknown title, nature-inspired metaheuristic algorithms, across neighborhood search for numerical optimization","journal of global optimization, source not found, information sciences","rainer storn, kenneth v. price, xin‐she yang, guohua wu"
w4292197747,a survey of transfer learning for machinery diagnostics and prognostics,artificial intelligence review,"siya yao, qi kang, mengchu zhou, muhyaddin rawa, abdullah abusorrah","w2014938333, w2019505419, w2020623375","rolling bearing reliability estimation based on logistic regression model, wavelet filter-based weak signature detection method and its application on rolling element bearing prognostics, nonparametric time series modelling for industrial prognostics and health management","source not found, journal of sound and vibration, the international journal of advanced manufacturing technology","hongkun li, yinhu wang, hai qiu, jay lee, jing lin, gang yu, ahmed mosallam, kamal medjaher, noureddine zerhouni"
w4292289323,an extended edas approach based on cumulative prospect theory for multiple attributes group decision making with probabilistic hesitant fuzzy information,artificial intelligence review,"ningna liao, hui gao, rui lin, guiwu wei, xudong chen","w1967243514, w1980564456, w2041946752","the selection of transport and handling resources in logistics centers using multi-attributive border approximation area comparison (mabac), intuitionistic fuzzy sets, advances in prospect theory: cumulative representation of uncertainty","expert systems with applications, fuzzy sets and systems, journal of risk and uncertainty","dragan pamučar, goran ćirović, krassimir atanassov, amos tversky, daniel kahneman"
w4292289324,human-in-the-loop machine learning: a state of the art,artificial intelligence review,"eduardo mosqueira-rey, elena hernández-pereira, david alonso-ríos, josé bobes-bascarán, ángel fernández-leal","w1501005121, w1602028731, w1849277567","power to the people: the role of humans in interactive machine learning, machine learning: when and where the horses went astray?, visualizing and understanding convolutional networks","ai magazine, machine learning, lecture notes in computer science","saleema amershi, maya çakmak, w. bradley knox, todd kulesza, emanuel diamant, matthew d. zeiler, rob fergus"
w4292372012,university admission process: a prescriptive analytics approach,artificial intelligence review,"mohammadreza kiaghadi, pooya hoseinpour","w137009209, w1502991139, w1997152453","a comparison of multi-label feature selection methods using the random forest paradigm, early detection of university students with potential difficulties, a comparative analysis of regression and neural networks for university admissions","lecture notes in computer science, decision support systems, information sciences","ouadie gharroudi, haytham elghazel, alex aussem, anne-sophie hoffait, michaël schyns, steven walczak, terry sincich"
w4293213129,heuristic and metaheuristic methods for the parallel unrelated machines scheduling problem: a survey,artificial intelligence review,"marko ðurasević, domagoj jakobović","w1081559464, w1488422606, w1502742993","unrelated parallel machine scheduling problem with energy and tardiness cost, optimization and approximation in deterministic sequencing and scheduling: a survey, tabu search heuristics for parallel machine scheduling with sequence-dependent setup and ready times","the international journal of advanced manufacturing technology, annals of discrete mathematics, lecture notes in computer science","zhantao li, hai-dong yang, shaqing zhang, liu guo-sheng, ronald graham, eugene l. lawler, jan karel lenstra, a. h. g. rinnooy kan, sang‐il kim, hyun-seon choi, dong-ho lee"
w4293248357,unbalanced double hierarchy linguistic group decision-making method based on swara and s-aras for multiple attribute group decision-making problems,artificial intelligence review,"fei teng, mengjiao shen","w1937035106, w2015343144, w2057327631","meeting the challenges of curriculum construction and change: revision and validity evaluation of a placement test, a new additive ratio assessment (aras) method in multicriteria decision‐making / naujas adityvinis kriterijų santykių įvertinimo metodas (aras) daugiakriteriniams uždaviniams spręsti, multiple criteria assessment of alternatives for built and human environment renovation","modern language journal, technological and economic development of economy, journal of civil engineering and management","anastasia mozgalina, marianna ryshina‐pankova, edmundas kazimieras zavadskas, zenonas turskis, laura tūpėnaitė, edmundas kazimieras zavadskas, artūras kaklauskas, zenonas turskis, mark seniut"
w4293288724,uncertainty analysis in document publications using single-valued neutrosophic set and collaborative entropy,artificial intelligence review,prem kumar singh,"w1862408796, w1883715000, w1995875735","the pagerank-index: going beyond citation counts in quantifying scientific impact of researchers, three-way decision spaces based on partially ordered sets and three-way decisions based on hesitant fuzzy sets, a mathematical theory of communication","plos one, knowledge-based systems, bell system technical journal","upul senanayake, mahendra piraveenan, albert y. zomaya, bao qing hu, claude e. shannon"
w4293295050,knowledge discovery and variable scale evaluation for long series data,artificial intelligence review,"yanwei zhai, zheng lv, jun zhao, wei wang","w1519643142, w1689099703, w1978371851","ranking and significance of variable-length similarity-based time series motifs, an agent-based approach to care in independent living, learning time-series shapelets","expert systems with applications, lecture notes in computer science, source not found","joan serrà, isabel serra, √ålvaro corral, josep lluís arcos, boštjan kaluža, violeta mirchevska, erik dovgan, mitja luštrek, matjaž gams, josif grabocka, nicolas schilling, martin wistuba, lars schmidt-thieme"
w4293317991,"anomaly detection in surveillance videos: a thematic taxonomy of deep models, review and performance analysis",artificial intelligence review,"s. chandrakala, k. deepak, g. revathy","w1522734439, w1536680647, w1861492603","learning spatiotemporal features with 3d convolutional networks, fast r-cnn, microsoft coco: common objects in context","source not found, source not found, lecture notes in computer science","du tran, lubomir bourdev, rob fergus, lorenzo torresani, manohar paluri, ross girshick, tsung-yi lin, michael maire, serge belongie, james hays, pietro perona, deva ramanan, piotr dollár, c. lawrence zitnick"
w4293795081,an active deep learning method for diabetic retinopathy detection in segmented fundus images using artificial bee colony algorithm,artificial intelligence review,erdal özbay,"w1677182931, w1793256304, w1975032911","delving deep into rectifiers: surpassing human-level performance on imagenet classification, active learning for an efficient training strategy of computer-aided diagnosis systems: application to diabetic retinopathy screening, important causes of visual impairment in the world today","source not found, lecture notes in computer science, jama","kaiming he, xiangyu zhang, shaoqing ren, jian sun, clara i. sá‎nchez, meindert niemeijer, michael d. abràmoff, bram van ginneken, nathan congdon"
w4294566414,a review of the literature on fuzzy-logic approaches for collision-free path planning of manipulator robots,artificial intelligence review,"abdelfetah hentout, abderraouf maoudj, aouache mustapha","w1191376398, w1424654272, w1484387568","fuzzy control: fundamentals, stability and design of fuzzy controllers, planning algorithms, introduction to autonomous mobile robots","source not found, source not found, choice reviews online","kai michels, frank klawonn, rudolf kruse, andreas nürnberger, steven m. lavalle, roland siegwart, illah nourbakhsh, davide scaramuzza"
w4294653840,cognitive motivations and foundations for building intelligent decision-making systems,artificial intelligence review,"zdzisław kowalczuk, michał czubenko","w123669775, w1494060184, w1514274094","standards for relationships between subject indexing terms, interactive cognitive-behavioral decision making system, the hourglass of emotions","information science and knowledge management, lecture notes in computer science, lecture notes in computer science","jessica l. milstead, zdzisław kowalczuk, michał czubenko, erik cambria, andrew livingstone, amir hussain"
w4294740730,a global taxonomy of interpretable ai: unifying the terminology for the technical and social sciences,artificial intelligence review,"mara graziani, l. dutkiewicz, davide calvaresi, josé pereira amorim, katerina yordanova, mor vered, rahul nair, pedro henriques abreu, tobias blanke, valeria pulignano, john o. prior, lode lauwaert, wessel reijers, adrien depeursinge, vincent andrearczyk, henning müller","w1787224781, w1963959269, w1996796871","on pixel-wise explanations for non-linear classifier decisions by layer-wise relevance propagation, conversational processes and causal explanation., intelligible models for healthcare","plos one, psychological bulletin, source not found","sebastian bach, alexander binder, grégoire montavon, frederick klauschen, klaus‐robert müller, wojciech samek, denis hilton, rich caruana, yin lou, johannes gehrke, paul koch, marc sturm, noémie elhadad"
w4294817101,"a novel technique for the detection of myocardial dysfunction using ecg signals based on ceemd, dwt, psr and neural networks",artificial intelligence review,"wei zeng, jian yuan, chengzhi yuan, qinghui wang, fenglin liu, ying wang","w1184075528, w1263911765, w1549189429","rotating machine fault diagnosis based on intrinsic characteristic-scale decomposition, detection of pvc in ecg signals using fractional linear prediction, diagnosis of breast tumours and evaluation of prognostic risk by using machine learning approaches","mechanism and machine theory, biomedical signal processing and control, springer ebooks","yongbo li, minqiang xu, wei yu, wenhu huang, mohamed lamine talbi, philippe ravier, qianfei yuan, congzhong cai, hanguang xiao, xinghua liu, yufeng wen"
w4294930473,deep learning for compressive sensing: a ubiquitous systems perspective,artificial intelligence review,"alina l. machidon, veljko pejović","w1857867064, w1901129140, w1956120499","distributed compressive sensing: a deep learning approach, u-net: convolutional networks for biomedical image segmentation, reconstruction-free inference on compressive measurements","ieee transactions on signal processing, lecture notes in computer science, source not found","hamid palangi, rabab ward, li deng, olaf ronneberger, philipp fischer, thomas brox, suhas lohit, kuldeep kulkarni, pavan turaga, jian wang, aswin c. sankaranarayanan"
w4295008492,a review of artificial intelligence methods for engineering prognostics and health management with implementation guidelines,artificial intelligence review,"khanh t.p. nguyen, kamal medjaher, thanh-do tran","w1147962567, w1419302472, w1496612696","multi-objective optimization of parallel machine scheduling integrated with multi-resources preventive maintenance planning, fault diagnosis of chemical processes with incomplete observations: a comparative study, two-stage damage detection method using the artificial neural networks and genetic algorithms","journal of manufacturing systems, computers & chemical engineering, lecture notes in computer science","shijin wang, ming liu, mahdieh askarian, gerard escudero, moisès graells, reza zarghami, yafei li, navid mostoufi, danguang pan, su-su lei, shunchuan wu"
w4295120388,a review of platforms for simulating embodied agents in 3d virtual environments,artificial intelligence review,"deepti prit kaur, narinder singh, bonny banerjee","w1503263331, w1561130515, w1652032257","a spatial search framework for executing perceptions and actions in diagrammatic reasoning, the cog project: building a humanoid robot, intelligence without reason","lecture notes in computer science, lecture notes in computer science, routledge ebooks","bonny banerjee, b. chandrasekaran, rodney a. brooks, cynthia breazeal, matthew marjanović, brian scassellati, matthew m. williamson, rodney a. brooks"
w4295457756,multicriteria group decision making via generalized trapezoidal intuitionistic fuzzy number-based novel similarity measure and its application to diverse covid-19 scenarios,artificial intelligence review,"palash dutta, gourangajit borah","w1965074968, w1966731082, w1980564456","developing new similarity measures of generalized intuitionistic fuzzy numbers and generalized interval-valued fuzzy numbers from similarity measures of generalized fuzzy numbers, a new approach for fuzzy risk analysis based on similarity measures of generalized fuzzy numbers, intuitionistic fuzzy sets","mathematical and computer modelling, expert systems with applications, fuzzy sets and systems","bahram farhadinia, adrian i. ban, shih-hua wei, shyi‐ming chen, krassimir atanassov"
w4295926801,a brief review of portfolio optimization techniques,artificial intelligence review,"abhishek gunjan, siddhartha bhattacharyya","w1483489440, w1509314261, w1512383952","an introduction to quantum computing, the oxford handbook of pensions and retirement income, introduction to evolutionary computing","oxford university press ebooks, oxford university press ebooks, natural computing series","phillip kaye, raymond laflamme, michele mosca, gordon l. clark, alicia h. munnell, j. michael orszag, a. e. eiben, james e. smith"
w4296020838,"density-based ifcm along with its interval valued and probabilistic extensions, and a review of intuitionistic fuzzy clustering methods",artificial intelligence review,"ayush k. varshney, pranab k. muhuri, q. m. danish lohani","w1026529361, w1236887860, w1562304287","an intuitionistic fuzzy approach to fuzzy clustering of numerical dataset, a new fuzzy clustering algorithm for the segmentation of brain tumor, interval type-2 fuzzy c-means clustering using intuitionistic fuzzy sets","advances in intelligent systems and computing, soft computing, source not found","n. karthikeyani visalakshi, s parvathavarthini, k. thangavel, v. p. ananthi, p. balasubramaniam, t. kalaiselvi, dzung dinh nguyen, long thanh ngo, long the pham"
w4296045111,securing federated learning with blockchain: a systematic literature review,artificial intelligence review,"attia qammar, ahmad karim, huansheng ning, jianguo ding","w1523833175, w2005501262, w2168894761","optimal selfish mining strategies in bitcoin, preferred reporting items for systematic reviews and meta-analyses: the prisma statement, procedures for performing systematic reviews","lecture notes in computer science, annals of internal medicine, source not found","ayelet sapirshtein, yonatan sompolinsky, aviv zohar, david moher, alessandro liberati, jennifer tetzlaff, douglas g. altman, barbara kitchenham"
w4296077725,population reduction with individual similarity for differential evolution,artificial intelligence review,"yuzhen li, shihao wang, bo yang, hu chen, zhiqiang wu, hongyu yang","w1576888158, w1595159159, w1968075052","real-parameter optimization with differential evolution, unknown title, exploration and exploitation in evolutionary algorithms","source not found, journal of global optimization, acm computing surveys","jani rönkkönen, saku kukkonen, kenneth v. price, rainer storn, kenneth v. price, matej črepinšek, shih-hsi liu, marjan mernik"
w4296139711,automatic captioning for medical imaging (mic): a rapid review of literature,artificial intelligence review,"djamila romaissa beddiar, mourad oussalah, tapio seppänen","w1250889301, w1849277567, w1895577753","general overview of imageclef at the clef 2015 labs, visualizing and understanding convolutional networks, show and tell: a neural image caption generator","lecture notes in computer science, lecture notes in computer science, source not found","mauricio villegas, henning müller, andrew gilbert, luca piras, josiah wang, krystian mikolajczyk, alba garcía seco de herrera, stefano bromuri, m. ashraful amin, mahmood kazi mohammed, burak acar, suzan üsküdarlı, neda barzegar marvasti, josé f. aldana, maría del mar roldán‐garcía, matthew d. zeiler, rob fergus, oriol vinyals, alexander toshev, samy bengio, dumitru erhan"
w4296186746,cross-domain decision making based on tradaboost for diagnosis of breast lesions,artificial intelligence review,"chao fu, zijian wu, min xue, weiyong liu","w1529040819, w1972591816, w1981107087","data-driven selection of motion correction techniques in breast dce-mri, a state-of the-art survey of topsis applications, some geometric aggregation operators based on intuitionistic fuzzy sets","source not found, expert systems with applications, international journal of general systems","gabriele piantadosi, stefano marrone, roberta fusco, antonella petrillo, mario sansone, carlo sansone, majid behzadian, sina khanmohammadi otaghsara, morteza yazdani, joshua ignatius, zeshui xu, ronald r. yager"
w4296297582,matrix-based fast granularity reduction algorithm of multi-granulation rough set,artificial intelligence review,"yi xu, min wang, shanzhong hu","w1969525310, w1986839581, w2059399721","a parallel matrix-based method for computing approximations in incomplete information systems, test cost sensitive multigranulation rough set: model and minimal cost selection, matrix-based set approximations and reductions in covering decision information systems","ieee transactions on knowledge and data engineering, information sciences, international journal of approximate reasoning","junbo zhang, jian-syuan wong, yi pan, tianrui li, xibei yang, yunsong qi, xiaoning song, jingyu yang, anhui tan, jinjin li, yaojin lin, guoping lin"
w4296461299,unsupervised feature selection based on incremental forward iterative laplacian score,artificial intelligence review,"jiefang jiang, xianyong zhang, jilin yang","w197242792, w1979955537, w2043420811","iterative laplacian score for feature selection, a unifying criterion for unsupervised clustering and feature selection, locality sensitive semi-supervised feature selection","communications in computer and information science, pattern recognition, neurocomputing","linling zhu, linsong miao, liangxiu han, mihaela breaban, henri luchian, jidong zhao, ke lü, xiaofei he"
w4296636191,an soa-rbfnn approach for the system modelling of optimal energy management in grid-connected smart grid system,artificial intelligence review,"k. karthikumar, senthil kumar vairakannu, karuppiah marimuthu, udhayaraj natarajan, krishnakumar sekar","w1975074329, w2037784178, w2047811067","energy management in a microgrid with distributed energy resources, modeling framework and validation of a smart grid and demand response system for wind power integration, optimal planning of a smart microgrid including demand response and intermittent renewable energy resources","energy conversion and management, applied energy, ieee transactions on smart grid","linfeng zhang, nicolae gari, lawrence v. hmurcik, torsten broeer, jason fuller, francis k. tuffner, david p. chassin, ned djilali, seyed mehdi hakimi, seyed masoud moghaddas tafreshi"
w4296929390,review of plant leaf recognition,artificial intelligence review,"zhaobin wang, jing cui, ying zhu","w1858660163, w1977140987, w2052693078","classification of medicinal plants: an approach using modified lbp with symbolic representation, feature decision-making ant colony optimization system for an automated recognition of plant species, leaf recognition based on pcnn","neurocomputing, expert systems with applications, neural computing and applications","yalagala naresh, h. s. nagendraswamy, mohammad ali jan ghasab, shamsul khamis, faruq mohammad, hessam jahani fariman, zhaobin wang, xiaoguang sun, yaonan zhang, ying zhu, yide ma"
w4296935237,an effective and efficient broad-based ensemble learning model for moderate-large scale image recognition,artificial intelligence review,"zhong xiu-rong, shukai duan, lidan wang","w1506806321, w1523989055, w1969625066","pattern recognition and machine learning (information science and statistics), a branch and bound algorithm for feature subset selection, fast second order learning algorithm for feedforward multilayer neural networks and its applications","springer ebooks, ieee transactions on computers, neural networks","chris bishop, narendra, fukunaga, s. osowski, piotr bojarczak, m. stodolski"
w4297051238,survey on aspect detection for aspect-based sentiment analysis,artificial intelligence review,"maria mihaela truşcă, flavius frăsincar","w1485981043, w1641039719, w1928278792","serial order: a parallel distributed processing approach, mining sequential patterns: generalizations and performance improvements, object recognition with gradient-based learning","advances in psychology, lecture notes in computer science, lecture notes in computer science","michael i. jordan, ramakrishnan srikant, rakesh agrawal, yann lecun, patrick haffner, léon bottou, yoshua bengio"
w4297092710,adaba: improving the balancing between runtime and accuracy in a new distributed version of the alpha–beta algorithm,artificial intelligence review,"lídia bononi paiva tomaz, rita maria silva julia, matheus prado prandini faria","w10907060, w1498321841, w1685379897","a high-performance parallel algorithm to search depth-first game trees, distributed game tree search on a massively parallel system, a draughts learning system based on neural networks and temporal differences: the impact of an efficient tree-search algorithm","icga journal, lecture notes in computer science, lecture notes in computer science","robert m. hyatt, rainer feldmann, peter mysliwietz, burkhard monien, gutierrez soares caixeta, rita maria da silva julia"
w4297227993,swarm intelligence algorithms for multiple unmanned aerial vehicles collaboration: a comprehensive review,artificial intelligence review,"jun tang, haibin duan, songyang lao","w1576660662, w1595159159, w1659842140","unknown title, unknown title, adaptation in natural and artificial systems","natural computing, journal of global optimization, source not found","hans-georg beyer, hans–paul schwefel, rainer storn, kenneth v. price, john h. holland"
w4297491563,a comprehensive review on jaya optimization algorithm,artificial intelligence review,"luiza scapinello aquino da silva, yan lieven souza lúcio, leandro dos santos coelho, viviana cocco mariani, r. venkata rao","w1496413023, w1556450089, w1967145005","harmony search as a metaheuristic algorithm, an introduction to evolutionary programming, performance analysis of civil engineering journals based on the web of science® database","studies in computational intelligence, lecture notes in computer science, archives of civil and mechanical engineering","xin‐she yang, david b. fogel, lawrence j. fogel, edmundas kazimieras zavadskas, mirosław j. skibniewski, jurgita antuchevičienė"
w4297548914,medical instrument detection in ultrasound: a review,artificial intelligence review,"hongxu yang, caifeng shan, alexander f. kolen, peter h. n. de with","w1516448465, w1549560813, w1596717185","real-time needle tip localization in 2d ultrasound images for robotic biopsies, diagnostic value of ultrasound-guided fine-needle aspiration biopsy, core-needle biopsy, and evaluation of combined use in the diagnosis of breast lesions1, unknown title","source not found, journal of the american college of surgeons, neural processing letters","mert kaya, enes senel, mirza awais ahmad, orcun orhan, özkan bebek, takuya hatada, hiromitsu ishii, shigetoshi ichii, kaoru okada, yoshinori fujiwara, takehira yamamura, johan a. k. suykens, joos vandewalle"
w4297826536,general optimization procedure of the hedge-algebras controller for controlling dynamic systems,artificial intelligence review,"tien-duy nguyen, hai-le bui","w1059174889, w1204891141, w1525459329","a discussion on interpretability of linguistic rule based systems and its application to solve regression problems, flatness-based adaptive fuzzy control of electrostatically actuated mems using output feedback, application of hedge algebra-based fuzzy controller to active control of a structure against earthquake","knowledge-based systems, fuzzy sets and systems, structural control and health monitoring","nguyễn cát hồ, van thong hoang, van long nguyen, gerasimos rigatos, guchuan zhu, hassan yousef, abdesselem boulkroune, nguyen dong anh, hai-le bui, nhu-lan vu, duc-trung tran"
w4297903184,an application of tournament differential evolution algorithm in production inventory model with green level and expiry time dependent demand,artificial intelligence review,"md akhtar, avijit duary, amalesh kumar manna, ali akbar shaikh, asoke kumar bhunia","w1005613975, w1555022631, w1595159159","retailer’s optimal strategy for fixed lifetime products, adaptive parameter selection of quantum-behaved particle swarm optimization on global level, unknown title","international journal of machine learning and cybernetics, lecture notes in computer science, journal of global optimization","biswajit sarkar, sumon sarkar, won young yun, wenbo xu, jun sun, rainer storn, kenneth v. price"
w4298000417,review on knowledge extraction from text and scope in agriculture domain,artificial intelligence review,"e. a. nismi mol, m. b. santosh kumar","w1529731474, w1552847225, w1604644367","clausie, dbpedia – a large-scale, multilingual knowledge base extracted from wikipedia, modeling relations and their mentions without labeled text","source not found, semantic web, lecture notes in computer science","luciano del corro, rainer gemulla, jens lehmann, robert isele, max jakob, anja jentzsch, dimitris kontokostas, pablo n. mendes, sebastian hellmann, mohamed morsey, patrick van kleef, sören auer, christian bizer, sebastian riedel, limin yao, andrew mccallum"
w4298124436,applications of deep learning into supply chain management: a systematic literature review and a framework for future research,artificial intelligence review,"fahimeh hosseinnia shavaki, ali ebrahimi ghahnavieh","w1510994142, w1536680647, w1826172662","collaborative supply chain management, fast r-cnn, sustainable development and the water–energy–food nexus: a perspective on livelihoods","business process management journal, source not found, environmental science & policy","mohsen attaran, sharmin attaran, ross girshick, eloise m. biggs, eleanor bruce, bryan boruff, john duncan, julia horsley, natasha pauli, kellie mcneill, andreas neef, floris van ogtrop, jayne curnow, billy tusker haworth, stephanie duce, y. imanari"
w4300717046,inference-based complete algorithms for asymmetric distributed constraint optimization problems,artificial intelligence review,"dingding chen, ziyu chen, yanchen deng, zhongshi he, lulu wang","w122825473, w1528223290, w1580115744","maintaining soft arc consistencies in bnb-adopt + during search, incentive compatible multiagent constraint optimization, approximations in distributed optimization","lecture notes in computer science, lecture notes in computer science, lecture notes in computer science","ka man lei, adrian petcu, boi faltings, adrian petcu, boi faltings"
w4302288256,a proportional-integral iterative algorithm for time-variant equality-constrained quadratic programming problem with applications,artificial intelligence review,"guancheng wang, zhihao hao, haoen huang, bob zhang","w1976220104, w2030546921, w2053154970","link between and comparison and combination of zhang neural network and quasi-newton bfgs method for time-varying quadratic minimization, the capacity region of the gaussian multiple-input multiple-output broadcast channel, a coefficient of agreement for nominal scales","ieee transactions on cybernetics, ieee transactions on information theory, educational and psychological measurement","yunong zhang, bingguo mu, huicheng zheng, h. weingarten, yossef steinberg, shlomo shamai, jacob cohen"
w4302775088,incremental learning with neural networks for computer vision: a survey,artificial intelligence review,"hao liu, yong zhou, bing liu, jiaqi zhao, rui yao, zhiwen shao","w1440335865, w1467353089, w1682403713","labelling and optical erasure of synaptic memory traces in the motor cortex, knowledge transfer in deep block-modular neural networks, catastrophic interference in connectionist networks: the sequential learning problem","nature, lecture notes in computer science, the psychology of learning and motivation/the psychology of learning and motivation","akiko hayashi‐takagi, sho yagishita, mayumi nakamura, fukutoshi shirai, yi wu, amanda l. loshbaugh, brian kuhlman, klaus m. hahn, haruo kasai, alexander v. terekhov, guglielmo montone, j. kevin ο’regan, michael mccloskey, neal j. cohen"
w4303415883,setback in ranking fuzzy numbers: a study in fuzzy risk analysis in diabetes prediction,artificial intelligence review,"maryam sotoudeh-anvari, alireza sotoudeh-anvari","w1140943376, w1535657934, w1812125406","a fuzzy-ontology-oriented case-based reasoning framework for semantic diabetes diagnosis, fuzzy number addition with the application of horizontal membership functions, a multi-criteria decision-making method based on heronian mean operators under a linguistic hesitant fuzzy environment","artificial intelligence in medicine, the scientific world journal, asia pacific journal of operational research","shaker el–sappagh, mohammed elmogy, a. m. riad, andrzej piegat, marcin pluciński, sumin yu, huan zhou, xiaohong chen, jian‐qiang wang"
