work_id,topic,subfield,field,domain
W4304698333,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4304698333,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4306292106,Building Energy Efficiency and Thermal Comfort Optimization,Building and Construction,Engineering,Physical Sciences
W4306292106,Low-Cost Air Quality Monitoring Systems,Environmental Engineering,Environmental Science,Physical Sciences
W4306292106,Energy Efficiency in Manufacturing and Industry Sector,"Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences
W4306786778,Reinforcement Learning Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4306786778,Evolution of Cooperation and Altruism in Social Systems,Sociology and Political Science,Social Sciences,Social Sciences
W4306786778,Social Preferences and Economic Behavior,Safety Research,Social Sciences,Social Sciences
W4307129239,Detection and Prevention of Phishing Attacks,Information Systems,Computer Science,Physical Sciences
W4307129239,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4307129239,Shape Matching and Object Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307243336,Neural Network Fundamentals and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4307243336,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307243336,Theory and Applications of Extreme Learning Machines,Artificial Intelligence,Computer Science,Physical Sciences
W4307321238,Automatic Keyword Extraction from Textual Data,Artificial Intelligence,Computer Science,Physical Sciences
W4307321238,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4307321238,Sentiment Analysis and Opinion Mining,Artificial Intelligence,Computer Science,Physical Sciences
W4307572272,Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences
W4307572272,Deep Learning Applications in Healthcare,Artificial Intelligence,Computer Science,Physical Sciences
W4307572272,Clustering of Time Series Data and Algorithms,Signal Processing,Computer Science,Physical Sciences
W4307819182,Single Image Super-Resolution Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307819182,Image Denoising Techniques and Algorithms,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307819182,Stereo Vision and Depth Estimation,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307910037,Chaos-based Image Encryption Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307910037,Image Compression Techniques and Standards,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307910037,Digital Image Watermarking Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307911024,Blind Source Separation and Independent Component Analysis,Signal Processing,Computer Science,Physical Sciences
W4307911024,Face Recognition and Dimensionality Reduction Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4307911024,Text Compression and Indexing Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4307913127,Time Series Forecasting Methods,Management Science and Operations Research,Decision Sciences,Social Sciences
W4307913127,Predicting Stock Market Trends and Movements,Management Science and Operations Research,Decision Sciences,Social Sciences
W4307913127,Electricity Price and Load Forecasting Methods,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4308112317,Cloud Computing and Big Data Technologies,Information Systems,Computer Science,Physical Sciences
W4308112317,Quantum Computing and Simulation,Artificial Intelligence,Computer Science,Physical Sciences
W4308112317,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4308112567,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W4308112567,Theory and Applications of Extreme Learning Machines,Artificial Intelligence,Computer Science,Physical Sciences
W4308112567,Neural Network Fundamentals and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4308160155,Digital Mental Health Interventions and Efficacy,Applied Psychology,Psychology,Social Sciences
W4308160155,Psychological Language Analysis in Social Media,Social Psychology,Psychology,Social Sciences
W4308160155,Suicidal Behavior and Prevention Strategies,Clinical Psychology,Psychology,Social Sciences
W4308381112,Adaptation to Concept Drift in Data Streams,Artificial Intelligence,Computer Science,Physical Sciences
W4308381112,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4308381112,Predicting Stock Market Trends and Movements,Management Science and Operations Research,Decision Sciences,Social Sciences
W4308607522,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4308750008,Remote Sensing in Vegetation Monitoring and Phenology,Ecology,Environmental Science,Physical Sciences
W4308750008,Precision Agriculture Technologies,Plant Science,Agricultural and Biological Sciences,Life Sciences
W4308750008,Dynamic Modeling of Plant Form and Growth,Plant Science,Agricultural and Biological Sciences,Life Sciences
W4308840623,Speech Enhancement Techniques,Signal Processing,Computer Science,Physical Sciences
W4308840623,Audio Signal Classification and Analysis,Signal Processing,Computer Science,Physical Sciences
W4308840623,Speech Recognition Technology,Artificial Intelligence,Computer Science,Physical Sciences
W4308840632,Type-2 Fuzzy Logic Systems and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4308840632,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4308840632,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4308861918,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4308861918,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4308861918,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4309198707,Robotic Inspection of Power Transmission Lines,Mechanical Engineering,Engineering,Physical Sciences
W4309198707,Adaptive Protection Schemes for Microgrids,Control and Systems Engineering,Engineering,Physical Sciences
W4309198707,Electricity Theft Detection in Smart Grids,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4309349667,Image Denoising Techniques and Algorithms,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4309349667,Multispectral and Hyperspectral Image Fusion,Media Technology,Engineering,Physical Sciences
W4309349667,Single Image Super-Resolution Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4309490745,Droplet Microfluidics Technology,Biomedical Engineering,Engineering,Physical Sciences
W4309490745,Accelerating Materials Innovation through Informatics,Materials Chemistry,Materials Science,Physical Sciences
W4309490745,Computational Methods in Drug Discovery,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4309582920,Speech Enhancement Techniques,Signal Processing,Computer Science,Physical Sciences
W4309582920,Dialogue Act Modeling for Spoken Language Systems,Artificial Intelligence,Computer Science,Physical Sciences
W4309582920,Speech Recognition Technology,Artificial Intelligence,Computer Science,Physical Sciences
W4309643846,Face Recognition and Analysis Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4309643846,User Authentication Methods and Security Measures,Information Systems,Computer Science,Physical Sciences
W4309643846,Biometric Recognition and Security Systems,Signal Processing,Computer Science,Physical Sciences
W4309648563,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4309648563,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4309648563,Optimization of Cutting and Packing Problems,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
W4309782696,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4309782696,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4309782696,Fuzzy Differential Equations and Uncertainty Modeling,Statistics and Probability,Mathematics,Physical Sciences
W4309796907,Graph Neural Network Models and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4309796907,Recommender System Technologies,Information Systems,Computer Science,Physical Sciences
W4309796907,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4309796916,Internet of Things and Edge Computing,Computer Networks and Communications,Computer Science,Physical Sciences
W4309796916,Cloud Computing and Big Data Technologies,Information Systems,Computer Science,Physical Sciences
W4309796916,Content-Centric Networking for Information Delivery,Computer Networks and Communications,Computer Science,Physical Sciences
W4309822222,Wireless Indoor Localization Techniques and Systems,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4309822222,Simultaneous Localization and Mapping,Aerospace Engineering,Engineering,Physical Sciences
W4309822222,Sampling-Based Motion Planning Algorithms,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4309867695,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4309867695,Conceptualizing the Circular Economy and Sustainable Supply Chains,Strategy and Management,"Business, Management and Accounting",Social Sciences
W4309867695,Quality Function Deployment in Product Development and Management,Management of Technology and Innovation,"Business, Management and Accounting",Social Sciences
W4309889602,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4309889602,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4309889602,Application of Genetic Programming in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4309913730,Time-of-Flight Imaging Techniques,Instrumentation,Physics and Astronomy,Physical Sciences
W4309913730,Stereo Vision and Depth Estimation,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4309913730,Simultaneous Localization and Mapping,Aerospace Engineering,Engineering,Physical Sciences
W4309925307,Dynamic Modeling of Plant Form and Growth,Plant Science,Agricultural and Biological Sciences,Life Sciences
W4309925307,Application of Genetic Programming in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4309925307,Neural Network Fundamentals and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4309928656,"Integration of Cyber, Physical, and Social Systems",Control and Systems Engineering,Engineering,Physical Sciences
W4309928656,Modeling and Control of Petri Nets in Systems,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4309928656,Workflow Mining and Business Process Management,Management Information Systems,"Business, Management and Accounting",Social Sciences
W4309937154,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4309937154,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4309937154,Data Mining Techniques and Applications,Information Systems,Computer Science,Physical Sciences
W4310193546,Risk Analysis and Management,"Statistics, Probability and Uncertainty",Decision Sciences,Social Sciences
W4310193546,Learning and Inference in Bayesian Networks,Artificial Intelligence,Computer Science,Physical Sciences
W4310193546,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4310193697,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4310193697,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4310193697,Trajectory Data Mining and Analysis,Signal Processing,Computer Science,Physical Sciences
W4310193754,Vehicle Routing Problem and Variants,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
W4310193754,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4310193754,Implications of Shared Autonomous Vehicle Services,Automotive Engineering,Engineering,Physical Sciences
W4310195170,Application of Genetic Programming in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4310195170,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4310195170,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4310225030,Trajectory Data Mining and Analysis,Signal Processing,Computer Science,Physical Sciences
W4310225030,Clustering of Time Series Data and Algorithms,Signal Processing,Computer Science,Physical Sciences
W4310225030,Data Clustering Techniques and Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4310276548,Trajectory Data Mining and Analysis,Signal Processing,Computer Science,Physical Sciences
W4310276548,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4310276548,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4310787317,Automatic Road Extraction from Remote Sensing Images,Ocean Engineering,Engineering,Physical Sciences
W4310787317,Trajectory Data Mining and Analysis,Signal Processing,Computer Science,Physical Sciences
W4310787317,Volunteered Geographic Information and Geospatial Crowdsourcing,"Geography, Planning and Development",Social Sciences,Social Sciences
W4311031268,Exploration of Smart Learning Strategies,Information Systems,Computer Science,Physical Sciences
W4311035550,Automated Pavement Inspection and Maintenance,Civil and Structural Engineering,Engineering,Physical Sciences
W4311035550,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W4311035550,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4311035665,Automated Pavement Inspection and Maintenance,Civil and Structural Engineering,Engineering,Physical Sciences
W4311035665,Asphalt Materials and Technology,Civil and Structural Engineering,Engineering,Physical Sciences
W4311035665,Petroleum Chemistry and Analysis,Analytical Chemistry,Chemistry,Physical Sciences
W4311165753,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4311165753,Isogeometric Analysis in Computational Engineering,Computational Mechanics,Engineering,Physical Sciences
W4311183537,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4311183537,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4311183537,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4311273559,Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences
W4311273559,Predicting Stock Market Trends and Movements,Management Science and Operations Research,Decision Sciences,Social Sciences
W4311305999,Statistical Physics of Opinion Dynamics,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W4311305999,Statistical Mechanics of Complex Networks,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W4311305999,Crowdsourcing for Research and Data Collection,Computer Science Applications,Computer Science,Physical Sciences
W4311362391,Skew Distributions and Applications in Statistics,Statistics and Probability,Mathematics,Physical Sciences
W4311362391,Reliability Engineering and Maintenance Optimization,"Safety, Risk, Reliability and Quality",Engineering,Physical Sciences
W4311362391,Software Reliability Assessment and Prediction,Software,Computer Science,Physical Sciences
W4311375214,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4311375214,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4311375214,Vehicle Routing Problem and Variants,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
W4311464455,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4311464455,Fuzzy Differential Equations and Uncertainty Modeling,Statistics and Probability,Mathematics,Physical Sciences
W4311464455,Multi-Objective Transportation Problem Optimization,Control and Systems Engineering,Engineering,Physical Sciences
W4311464757,Sentiment Analysis and Opinion Mining,Artificial Intelligence,Computer Science,Physical Sciences
W4311464757,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4311464757,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4311599520,Brain-Computer Interfaces in Neuroscience and Medicine,Cognitive Neuroscience,Neuroscience,Life Sciences
W4311599520,Robotic Grasping and Learning from Demonstration,Control and Systems Engineering,Engineering,Physical Sciences
W4311599520,Human Interaction with Automation Systems,Social Psychology,Psychology,Social Sciences
W4311607213,Blockchain and Internet of Things Integration,Information Systems,Computer Science,Physical Sciences
W4311607213,Crowdsourcing for Research and Data Collection,Computer Science Applications,Computer Science,Physical Sciences
W4311607213,Privacy-Preserving Techniques for Data Analysis and Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4311625992,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4311625992,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4311625992,Web Data Extraction and Crawling Techniques,Information Systems,Computer Science,Physical Sciences
W4311629995,Physics-Informed Neural Networks for Scientific Computing,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W4311629995,Accelerating Materials Innovation through Informatics,Materials Chemistry,Materials Science,Physical Sciences
W4311629995,Nanoelectronics and Transistors,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4311710860,Text Compression and Indexing Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4311710860,Mathematical Information Retrieval and Search,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4311710860,Handwriting Recognition and Text Detection,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4311954044,Electricity Price and Load Forecasting Methods,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4311954044,Predicting Stock Market Trends and Movements,Management Science and Operations Research,Decision Sciences,Social Sciences
W4311954044,Impact of Oil Price Shocks on Economy,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
W4312059150,Advanced Techniques in Bioimage Analysis and Microscopy,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4312059150,Comprehensive Integration of Single-Cell Transcriptomic Data,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4312059150,Microarray Data Analysis and Gene Expression Profiling,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4312105932,Biodegradable Polymers as Biomaterials and Packaging,Biomaterials,Materials Science,Physical Sciences
W4312105932,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4312105932,Conceptualizing the Circular Economy and Sustainable Supply Chains,Strategy and Management,"Business, Management and Accounting",Social Sciences
W4312106224,Geopolymer and Alternative Cementitious Materials,Civil and Structural Engineering,Engineering,Physical Sciences
W4312106224,Fiber Reinforced Concrete in Civil Engineering,Civil and Structural Engineering,Engineering,Physical Sciences
W4312106224,Reinforcement Corrosion in Concrete Structures,Civil and Structural Engineering,Engineering,Physical Sciences
W4312106240,Vegetable Grafting Techniques and Applications,Plant Science,Agricultural and Biological Sciences,Life Sciences
W4312106240,Precision Agriculture Technologies,Plant Science,Agricultural and Biological Sciences,Life Sciences
W4312106240,Diversity and Evolution of Fungal Pathogens,Cell Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4312106306,Application of Fuzzy Cognitive Maps in Modeling,Artificial Intelligence,Computer Science,Physical Sciences
W4312106615,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4312106615,Graph Neural Network Models and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4312106615,Statistical Mechanics of Complex Networks,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W4312106726,Deep Learning in Medical Image Analysis,Artificial Intelligence,Computer Science,Physical Sciences
W4312106726,Radiomics in Medical Imaging Analysis,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
W4312106726,Automated Analysis of Blood Cell Images,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4312106785,Software Reliability Assessment and Prediction,Software,Computer Science,Physical Sciences
W4312106785,Empirical Studies in Software Engineering,Information Systems,Computer Science,Physical Sciences
W4312106785,Handling Imbalanced Data in Classification Problems,Artificial Intelligence,Computer Science,Physical Sciences
W4312208348,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4312208348,Application of Genetic Programming in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4312208348,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4312208408,Learning with Noisy Labels in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4312208408,Explainable Artificial Intelligence,Artificial Intelligence,Computer Science,Physical Sciences
W4312208408,Adversarial Robustness in Deep Learning Models,Artificial Intelligence,Computer Science,Physical Sciences
W4312214845,Neural Network Fundamentals and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4312214845,Type-2 Fuzzy Logic Systems and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4312214845,Application of Genetic Programming in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4312214853,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4312214853,Theory and Applications of Extreme Learning Machines,Artificial Intelligence,Computer Science,Physical Sciences
W4312214853,Classification of Brain Tumor Type and Grade,Neurology,Neuroscience,Life Sciences
W4312222425,Management of Hypertension and Cardiovascular Risk Factors,Cardiology and Cardiovascular Medicine,Medicine,Health Sciences
W4312222425,Optimization of Perioperative Fluid Therapy,Surgery,Medicine,Health Sciences
W4312222425,Non-contact Physiological Monitoring Technology,Biomedical Engineering,Engineering,Physical Sciences
W4312222562,Network Synchronization in Complex Systems,Computer Networks and Communications,Computer Science,Physical Sciences
W4312222562,Theory and Applications of Extreme Learning Machines,Artificial Intelligence,Computer Science,Physical Sciences
W4312222562,Face Recognition and Dimensionality Reduction Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4312222690,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4312222690,Statistical Mechanics of Complex Networks,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W4312222690,Data Clustering Techniques and Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4313276113,Vibration Serviceability of Footbridges,Civil and Structural Engineering,Engineering,Physical Sciences
W4313276113,Automated Pavement Inspection and Maintenance,Civil and Structural Engineering,Engineering,Physical Sciences
W4313276113,Structural Health Monitoring Techniques,Civil and Structural Engineering,Engineering,Physical Sciences
W4313321559,Application of Genetic Programming in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4313321559,Theory and Applications of Extreme Learning Machines,Artificial Intelligence,Computer Science,Physical Sciences
W4313321559,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4313321714,Prediction of Protein Subcellular Localization,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4313321714,Macromolecular Crystallography Techniques,Materials Chemistry,Materials Science,Physical Sciences
W4313321714,Protein Structure Prediction and Analysis,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4313388587,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W4313421060,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4313421060,Artificial Immune Systems in Science and Engineering,Biomedical Engineering,Engineering,Physical Sciences
W4313421060,Network Intrusion Detection and Defense Mechanisms,Computer Networks and Communications,Computer Science,Physical Sciences
W4313597114,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4313597114,Automatic Keyword Extraction from Textual Data,Artificial Intelligence,Computer Science,Physical Sciences
W4313597114,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4313625318,Fuzzy Differential Equations and Uncertainty Modeling,Statistics and Probability,Mathematics,Physical Sciences
W4313625318,Robust Optimization for Risk Management and Finance,Management Science and Operations Research,Decision Sciences,Social Sciences
W4313625318,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4313642897,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4313642897,Land-Use Suitability Assessment Using GIS,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences
W4313642897,Influence of Recycled Aggregate Concrete on Construction,Building and Construction,Engineering,Physical Sciences
W4313644131,Information Security Policy Compliance and Awareness,Information Systems,Computer Science,Physical Sciences
W4313644131,Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences
W4313644131,Network Intrusion Detection and Defense Mechanisms,Computer Networks and Communications,Computer Science,Physical Sciences
W4313648835,Automatic Keyword Extraction from Textual Data,Artificial Intelligence,Computer Science,Physical Sciences
W4313648835,Statistical Mechanics of Complex Networks,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W4313648835,Sentiment Analysis and Opinion Mining,Artificial Intelligence,Computer Science,Physical Sciences
W4313650011,Wind Power Integration in Power Systems,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4313650011,Load Frequency Control in Power Systems,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4313650011,Power System Stability and Control Analysis,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4315490060,Humanitarian Logistics and Disaster Relief Operations Management,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W4315490060,Volunteered Geographic Information and Geospatial Crowdsourcing,"Geography, Planning and Development",Social Sciences,Social Sciences
W4315490060,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4316036513,Face Recognition and Analysis Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4316036513,Biometric Recognition and Security Systems,Signal Processing,Computer Science,Physical Sciences
W4316036513,Gait Recognition for Human Identification,Biomedical Engineering,Engineering,Physical Sciences
W4316810864,Visual Question Answering in Images and Videos,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4316810864,Advances in Transfer Learning and Domain Adaptation,Artificial Intelligence,Computer Science,Physical Sciences
W4316810864,Image Feature Retrieval and Recognition Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4316814312,Predicting Stock Market Trends and Movements,Management Science and Operations Research,Decision Sciences,Social Sciences
W4316814312,Electricity Price and Load Forecasting Methods,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4316814312,Impact of Oil Price Shocks on Economy,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences
W4317042600,Characterization and Detection of Android Malware,Signal Processing,Computer Science,Physical Sciences
W4317042600,Information Security Policy Compliance and Awareness,Information Systems,Computer Science,Physical Sciences
W4317042600,Network Intrusion Detection and Defense Mechanisms,Computer Networks and Communications,Computer Science,Physical Sciences
W4317207462,Logic Programming and Knowledge Representation,Artificial Intelligence,Computer Science,Physical Sciences
W4317207462,Methods and Techniques for Agent-Based Modeling,Artificial Intelligence,Computer Science,Physical Sciences
W4317207462,Artificial Intelligence Planning and Reasoning,Artificial Intelligence,Computer Science,Physical Sciences
W4317207836,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W4317207836,Human Action Recognition and Pose Estimation,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4317207836,Gait Recognition for Human Identification,Biomedical Engineering,Engineering,Physical Sciences
W4317208968,Multi-Objective Transportation Problem Optimization,Control and Systems Engineering,Engineering,Physical Sciences
W4317208968,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4317208968,Land-Use Suitability Assessment Using GIS,"Management, Monitoring, Policy and Law",Environmental Science,Physical Sciences
W4317565738,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4317565738,Digital Image Watermarking Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4317565738,Biologically Inspired Adaptive Network Design,Biomedical Engineering,Engineering,Physical Sciences
W4317790698,Chemometrics in Analytical Chemistry and Food Technology,Analytical Chemistry,Chemistry,Physical Sciences
W4317790698,Computational Methods in Drug Discovery,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4317790698,Advances in Metabolomics Research,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4317904349,Dialogue Act Modeling for Spoken Language Systems,Artificial Intelligence,Computer Science,Physical Sciences
W4317904349,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4317904349,Semantic Web and Ontology Development,Artificial Intelligence,Computer Science,Physical Sciences
W4318200376,Neural Mechanisms of Face Perception and Recognition,Cognitive Neuroscience,Neuroscience,Life Sciences
W4318200376,Embodied Cognition and Social Interaction,Social Psychology,Psychology,Social Sciences
W4318200376,Development of Theory of Mind in Children,Developmental and Educational Psychology,Psychology,Social Sciences
W4318219004,Pathophysiology and Treatment of Spinal Cord Injury,Pathology and Forensic Medicine,Medicine,Health Sciences
W4318219004,Osteoarthritis and Cartilage Repair,Rheumatology,Medicine,Health Sciences
W4318219004,Surgical Interventions for Cervical Spine Disorders,Surgery,Medicine,Health Sciences
